,state,district,active,deceased,recovered,confirmed
0,State Unassigned,Unassigned,0,0,0,0
1,Andaman and Nicobar Islands,Nicobars,0,0,0,0
2,Andaman and Nicobar Islands,North and Middle Andaman,0,0,1,1
3,Andaman and Nicobar Islands,South Andaman,19,0,32,51
4,Andaman and Nicobar Islands,Unknown,-13,129,7380,7496
5,Andhra Pradesh,Foreign Evacuees,0,0,434,434
6,Andhra Pradesh,Anantapur,247,1089,155337,156673
7,Andhra Pradesh,Chittoor,2778,1783,229637,234198
8,Andhra Pradesh,East Godavari,3065,1232,277087,281384
9,Andhra Pradesh,Guntur,1605,1163,167210,169978
10,Andhra Pradesh,Krishna,3111,1250,106860,111221
11,Andhra Pradesh,Kurnool,216,844,122465,123525
12,Andhra Pradesh,Other State,0,0,2461,2461
13,Andhra Pradesh,Prakasam,1470,1023,128985,131478
14,Andhra Pradesh,S.P.S. Nellore,2591,973,133121,136685
15,Andhra Pradesh,Srikakulam,557,769,119891,121217
16,Andhra Pradesh,Visakhapatnam,544,1089,151762,153395
17,Andhra Pradesh,Vizianagaram,225,669,80813,81707
18,Andhra Pradesh,West Godavari,1422,1071,168861,171354
19,Andhra Pradesh,Y.S.R. Kadapa,586,627,110128,111341
20,Arunachal Pradesh,Anjaw,48,3,934,985
21,Arunachal Pradesh,Changlang,71,20,3530,3621
22,Arunachal Pradesh,East Kameng,35,0,1031,1066
23,Arunachal Pradesh,East Siang,102,17,2817,2936
24,Arunachal Pradesh,Kamle,60,0,400,460
25,Arunachal Pradesh,Kra Daadi,7,0,249,256
26,Arunachal Pradesh,Kurung Kumey,2,1,504,507
27,Arunachal Pradesh,Lepa Rada,41,2,719,762
28,Arunachal Pradesh,Lohit,144,26,2486,2656
29,Arunachal Pradesh,Longding,14,2,712,728
30,Arunachal Pradesh,Lower Dibang Valley,89,9,2049,2147
31,Arunachal Pradesh,Lower Siang,50,8,645,703
32,Arunachal Pradesh,Lower Subansiri,333,11,2266,2610
33,Arunachal Pradesh,Namsai,48,15,1895,1958
34,Arunachal Pradesh,Pakke Kessang,9,0,381,390
35,Arunachal Pradesh,Papum Pare,844,87,16182,17113
36,Arunachal Pradesh,Shi Yomi,25,0,196,221
37,Arunachal Pradesh,Siang,27,3,363,393
38,Arunachal Pradesh,Tawang,115,17,2151,2283
39,Arunachal Pradesh,Tirap,20,3,982,1005
40,Arunachal Pradesh,Upper Dibang Valley,26,2,262,290
41,Arunachal Pradesh,Upper Siang,76,1,804,881
42,Arunachal Pradesh,Upper Subansiri,80,6,1817,1903
43,Arunachal Pradesh,West Kameng,171,13,3010,3194
44,Arunachal Pradesh,West Siang,51,5,1669,1725
45,Assam,Airport Quarantine,0,0,13,13
46,Assam,Baksa,5510,56,447,6013
47,Assam,Barpeta,10368,151,1024,11543
48,Assam,Biswanath,8010,50,379,8439
